name,song_name,song_subgenre
The Shawshank Redemption,If I Didn't Care,"lounge, vocal harmony group"
The Shawshank Redemption,Duettino - Sull'aria,"classical, classical era"
The Shawshank Redemption,Put The Blame On Mame,vintage hollywood
The Shawshank Redemption,Lovesick Blues,"country, honky tonk, traditional country, yodeling"
The Shawshank Redemption,Willie and The Hand Jive,"jazz blues, jump blues, rhythm and blues"
The Shawshank Redemption,A Mighty Fortress Is Our God,"christian alternative rock, christian music"
The Godfather,Mall Wedding Sequence,mallsoft
The Godfather,I Have But One Heart,"adult standards, easy listening"
The Godfather,Luna mezz' 'o mare,operatic pop
The Godfather,Manhattan Serenade,"adult standards, big band, dixieland, jazz trombone, swing, tin pan alley, vintage jazz"
The Godfather,Have Yourself a Merry Little Christmas,"adult standards, easy listening, lounge"
The Godfather,Santa Claus Is Coming To Town,"motown, soul"
The Godfather,The Bells of St. Mary's,"adult standards, classic soul, doo-wop, rock-and-roll, rockabilly, soul"
The Godfather,All Of My Life,instrumental worship
The Godfather,Mona Lisa,"alternative pop rock, pov: indie"
The Godfather,"Passacaglia and Fugue in C minor, BWV 582 ","baroque, classical, early music, german baroque"
The Godfather,Non so più,
The Godfather,Brindisi (Libiamo ne' lieti calici),"classical, italian opera, italian romanticism, late romantic era"
The Godfather,This Loneliness,"melodic hardcore, metalcore"
The Godfather,For He's a Jolly Good Fellow,instrumental lullaby
The Godfather,Antico Canto Siciliano,
The Godfather,Solid Potato Salad,jump blues
The Dark Knight,Balmoral,"calming instrumental, organic ambient"
The Dark Knight,Scatterin' Monkey,"big beat, j-rock"
The Dark Knight,4 A Moment of Silence,"big beat, j-rock"
The Dark Knight,"Andante from String Quartet in a minor D. 804, 'Rosamunde' ","classical, classical era, early romantic era"
The Godfather: Part II,Senza Mamma,
The Godfather: Part II,Napule Ve Salute,classic soundtrack
The Godfather: Part II,Mr. Wonderful,"alternative hip hop, east coast hip hop, hip hop, nyc rap, queens hip hop"
The Godfather: Part II,Heart and Soul,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock"
The Godfather: Part II,Guantanamera,"mambo, musica tradicional cubana, son cubano"
The Godfather: Part II,The Star-Spangled Banner,marching band
The Godfather: Part II,For He's a Jolly Good Fellow,instrumental lullaby
The Godfather: Part II,Pop Goes the Weasel,"children's music, nursery"
The Godfather: Part II,U Sciccareddu Sicilianu,"canzone siciliane, classic italian folk pop, folk siciliana, musica calabrese"
12 Angry Men,Dance of the Cuckoos,
Schindler's List,"Mamatschi (Mommy, Buy Me a Pony) ",
